activity_no,activity_date,activity_name,activity_short_name,activity_location,activity_start_time,activity_end_time,activity_intro,activity_news
1,1,台北COMPUTEX,COMPUTEX,貿易中心,10:00,16:00,物聯網的應用已愈來愈精彩，了解最新趨勢！,"廠商預期 2018 年物聯網就要進入商機爆發期，使得物聯網應用成為今年 COMPUTEX 的重頭戲，包括聚焦安全應用、智慧居家與娛樂、智慧穿戴、車用電子、3D 商業、智慧科技解決方案、智慧製造等超過 180 家廠商參展，當中也能看到台廠在物聯網時代的轉型成果。"
25,1,"Wonton 混沌派對",國際電玩展,貿易中心,15:00,21:00,那些太過美好的不可能，就像這場派對。,巨大的飛船好像很高科技但這東西二戰之後不是就很少見了嗎？牆壁上爬滿不明所以的管線看來建築師已經不再費心將線路藏進牆裡，廣告看板裡的人物可以跟自己調情一向是全人類的夢想，卻找到控制系統證明法西斯從來不退流行有效率的掌控這個世界。死寂一片的城市井然有序，表面和諧卻隱隱躁動著。這是最糟糕政府的假想之地，以為2049啊？醒醒吧，我們其實沒有未來，歡迎來到現世絕望鄉－混沌派對
49,1,微軟的重生如何改變未來,科技商學院,國際會議中心,15:00,17:00,整合科技與商業，提供不凡學習體驗！,"作者Satya，微軟的第三任執行長，透過本書描繪了科技進步的前景及微軟內部即將面臨的新任務，以及未來新興科技將如何再度改變我們的生活，例如人工智慧、混合實境及量子電腦等，人、組織以及社會該如何面對未來科技的變革，持續追求新能源及新想法。 這本書同時也是紐約時報和金融時報麥肯錫最佳商業選書。"
64,2,星際大戰變裝秀,變裝秀,未來大道,19:00,20:30,穿上你最酷的服裝，共襄盛舉吧！,"2017年年底以及四月中釋出的新篇《星際大戰》預告《Star Wars: The Force Awaken》想必讓不少星際迷雀躍不已。說到這經典電影星際大戰，日編對R2-D2最情有獨衷了！雖然他只會發出嗶嗶嗶的聲音，但果然厲害的機器人在危急時刻總能化險為夷！這次美國的Sideshow網站召集了90名星際迷來為R2-D2舉辦一場爭奇鬥豔的變裝秀活動，裡面不乏知名電影融入R2-D2的造型中。"
26,2,"Wonton 混沌派對",國際電玩展,貿易中心,21:00,24:00,那些太過美好的不可能，就像這場派對。,巨大的飛船好像很高科技但這東西二戰之後不是就很少見了嗎？牆壁上爬滿不明所以的管線看來建築師已經不再費心將線路藏進牆裡，廣告看板裡的人物可以跟自己調情一向是全人類的夢想，卻找到控制系統證明法西斯從來不退流行有效率的掌控這個世界。死寂一片的城市井然有序，表面和諧卻隱隱躁動著。這是最糟糕政府的假想之地，以為2049啊？醒醒吧，我們其實沒有未來，歡迎來到現世絕望鄉－混沌派對
8,2,2018未來商務展,未來商務展,貿易中心,11:00,14:00,"四大主題 X 未來實境","現在就是未來，聚焦Mobile、Internet、Technology所改變的未來世界，發掘創新商業模式、服務方式、銷售方式及溝通方式，一同攜手提早佈局、突破未來僵局，開創真正屬於我們的機會及時代。即將引爆未來商務的場景革命，Experience Everything..."
71,3,新VR眼鏡發表會,VR發表會,未來大道,10:30,11:30,"Magic Leap新機發表","從 Google 等公司募集了 20 億美元、卻未推出任何產品的 Magic Leap 公司，終於在成立 7 年後，於 2017 年 12 月發表了 AR 眼鏡 Magic Leap One，號稱視覺和音效逼真，而且不容易產生暈眩感，預定 2018 年要推出創作者版本。因此今年是值得期待 AR 和 VR 創新技術的一年，預料市場規模在 2020 年會達到 1,200 億美元。"
31,3,"FA訪談秀 YouTuber",FA訪談秀,空中花園,13:00,14:00,她如何孤身一人，踏入紐約時尚界？,"留著一頭短髮，笑起來十分陽光，知性優雅中帶點小時髦。她是Serene，今年才20歲，目前就讀美國杜克大學。最初是在Dcard女孩版上，以一系列的「 紐約時尚實習日誌」文章為人所知。輔修視覺媒體的她，也有屬於自己的Youtube頻道。年紀輕輕，所擁有的不凡生活體驗和人生觀，是許多同齡女孩們所不曾擁有、且一心嚮往的。樂於分享的她，把自己的生活經驗分享給網友們，也成為了許多人學習的目標。"
9,3,2018未來商務展,未來商務展,貿易中心,11:00,14:00,"四大主題 X 未來實境","現在就是未來，聚焦Mobile、Internet、Technology所改變的未來世界，發掘創新商業模式、服務方式、銷售方式及溝通方式，一同攜手提早佈局、突破未來僵局，開創真正屬於我們的機會及時代。即將引爆未來商務的場景革命，Experience Everything..."
65,4,星際大戰變裝秀,變裝秀,未來大道,19:00,20:30,穿上你最酷的服裝，共襄盛舉吧！,"2017年年底以及四月中釋出的新篇《星際大戰》預告《Star Wars: The Force Awaken》想必讓不少星際迷雀躍不已。說到這經典電影星際大戰，日編對R2-D2最情有獨衷了！雖然他只會發出嗶嗶嗶的聲音，但果然厲害的機器人在危急時刻總能化險為夷！這次美國的Sideshow網站召集了90名星際迷來為R2-D2舉辦一場爭奇鬥豔的變裝秀活動，裡面不乏知名電影融入R2-D2的造型中。"
